Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
5/31/2019,1790.01001,1795.589966,1772.699951,1775.069946,4618800,0,0
6/3/2019,1760.01001,1766.290039,1672,1692.689941,9098700,0,0
6/4/2019,1699.23999,1730.819946,1680.890015,1729.560059,5679100,0,0
6/5/2019,1749.599976,1752,1715.25,1738.5,4239800,0,0
6/6/2019,1737.709961,1760,1726.130005,1754.359985,3689300,0,0
6/7/2019,1763.699951,1806.25,1759.48999,1804.030029,4808200,0,0
6/10/2019,1822,1884.869995,1818,1860.630005,5371000,0,0
6/11/2019,1883.25,1893.699951,1858,1863.699951,4042700,0,0
6/12/2019,1853.97998,1865,1844.380005,1855.319946,2678300,0,0
6/13/2019,1866.719971,1883.089966,1862.219971,1870.300049,2795800,0,0
6/14/2019,1864,1876,1859,1869.670044,2851200,0,0
6/17/2019,1876.5,1895.689941,1875.449951,1886.030029,2634300,0,0
6/18/2019,1901.349976,1921.670044,1899.790039,1901.369995,3895700,0,0
6/19/2019,1907.839966,1919.579956,1892.469971,1908.790039,2895300,0,0
6/20/2019,1933.329956,1935.199951,1905.800049,1918.189941,3217200,0,0
6/21/2019,1916.099976,1925.949951,1907.579956,1911.300049,3933600,0,0
6/24/2019,1912.660034,1916.859985,1901.300049,1913.900024,2283000,0,0
6/25/2019,1911.839966,1916.390015,1872.420044,1878.27002,3012300,0,0
6/26/2019,1892.47998,1903.800049,1887.319946,1897.829956,2441900,0,0
6/27/2019,1902,1911.23999,1898.040039,1904.280029,2141700,0,0
6/28/2019,1909.099976,1912.939941,1884,1893.630005,3037400,0,0
7/1/2019,1922.97998,1929.819946,1914.660034,1922.189941,3192100,0,0
7/2/2019,1919.380005,1934.790039,1906.630005,1934.310059,2645900,0,0
7/3/2019,1935.890015,1941.589966,1930.5,1939,1690300,0,0
7/5/2019,1928.599976,1945.900024,1925.300049,1942.910034,2628400,0,0
7/8/2019,1934.119995,1956,1928.25,1952.319946,2883400,0,0
7/9/2019,1947.800049,1990.01001,1943.47998,1988.300049,4345700,0,0
7/10/2019,1996.51001,2024.939941,1995.400024,2017.410034,4931900,0,0
7/11/2019,2025.619995,2035.800049,1995.300049,2001.069946,4317800,0,0
7/12/2019,2008.27002,2017,2003.869995,2011,2509300,0,0
7/15/2019,2021.400024,2022.900024,2001.550049,2020.98999,2981300,0,0
7/16/2019,2010.579956,2026.319946,2001.219971,2009.900024,2618200,0,0
7/17/2019,2007.050049,2012,1992.030029,1992.030029,2558800,0,0
7/18/2019,1980.01001,1987.5,1951.550049,1977.900024,3486900,0,0
7/19/2019,1991.209961,1996,1962.22998,1964.52002,3185600,0,0
7/22/2019,1971.140015,1989,1958.26001,1985.630005,2900000,0,0
7/23/2019,1995.98999,1997.790039,1973.130005,1994.48999,2703500,0,0
7/24/2019,1969.300049,2001.300049,1965.869995,2000.810059,2631300,0,0
7/25/2019,2001,2001.199951,1972.719971,1973.819946,4136500,0,0
7/26/2019,1942,1950.900024,1924.51001,1943.050049,4927100,0,0
7/29/2019,1930,1932.22998,1890.540039,1912.449951,4493200,0,0
7/30/2019,1891.119995,1909.890015,1883.47998,1898.530029,2910900,0,0
7/31/2019,1898.109985,1899.550049,1849.439941,1866.780029,4470700,0,0
8/1/2019,1871.719971,1897.920044,1844.01001,1855.319946,4713300,0,0
8/2/2019,1845.069946,1846.359985,1808.02002,1823.23999,4956200,0,0
8/5/2019,1770.219971,1788.670044,1748.780029,1765.130005,6058200,0,0
8/6/2019,1792.22998,1793.77002,1753.400024,1787.829956,5070300,0,0
8/7/2019,1773.98999,1798.930054,1757,1793.400024,4526900,0,0
8/8/2019,1806,1834.26001,1798.109985,1832.890015,3701200,0,0
8/9/2019,1828.949951,1831.089966,1802.219971,1807.579956,2879800,0,0
8/12/2019,1795.98999,1800.97998,1777,1784.920044,2905500,0,0
8/13/2019,1783,1831.73999,1780,1824.339966,3994000,0,0
8/14/2019,1793.01001,1795.650024,1757.219971,1762.959961,4893600,0,0
8/15/2019,1781.98999,1788,1761.959961,1776.119995,3759100,0,0
8/16/2019,1792.890015,1802.910034,1784.550049,1792.569946,3018000,0,0
8/19/2019,1818.079956,1826,1812.609985,1816.119995,2816300,0,0
8/20/2019,1814.5,1816.819946,1799.880005,1801.380005,1929500,0,0
8/21/2019,1819.390015,1829.579956,1815,1823.540039,2031800,0,0
8/22/2019,1828,1829.410034,1800.099976,1804.660034,2653500,0,0
8/23/2019,1793.030029,1804.900024,1745.22998,1749.619995,5270800,0,0
8/26/2019,1766.910034,1770,1743.51001,1768.869995,3080000,0,0
8/27/2019,1775.72998,1779.400024,1746.680054,1761.829956,3019700,0,0
8/28/2019,1755,1767.859985,1744.050049,1764.25,2419700,0,0
8/29/2019,1783,1798.550049,1777.25,1786.400024,3015100,0,0
8/30/2019,1797.48999,1799.73999,1764.569946,1776.290039,3058700,0,0
9/3/2019,1770,1800.800049,1768,1789.839966,3543000,0,0
9/4/2019,1805,1807.630005,1796.22998,1800.619995,2324100,0,0
9/5/2019,1821.949951,1842,1815.579956,1840.719971,3310800,0,0
9/6/2019,1838.219971,1840.650024,1826.400024,1833.51001,2496900,0,0
9/9/2019,1841,1850,1824.609985,1831.349976,2999500,0,0
9/10/2019,1822.75,1825.810059,1805.339966,1820.550049,2613900,0,0
9/11/2019,1812.140015,1833.420044,1809.079956,1822.98999,2432800,0,0
9/12/2019,1837.630005,1853.660034,1834.280029,1843.550049,2823500,0,0
9/13/2019,1842.01001,1846.119995,1835.170044,1839.339966,1971300,0,0
9/16/2019,1824.02002,1825.689941,1800.199951,1807.839966,3675500,0,0
9/17/2019,1807.079956,1823.98999,1804.099976,1822.550049,1982400,0,0
9/18/2019,1817.040039,1822.060059,1795.5,1817.459961,2505600,0,0
9/19/2019,1821.02002,1832.569946,1817.900024,1821.5,2031500,0,0
9/20/2019,1821.709961,1830.630005,1780.920044,1794.160034,5341900,0,0
9/23/2019,1777,1792.699951,1767.319946,1785.300049,2922300,0,0
9/24/2019,1790.609985,1795.709961,1735.550049,1741.609985,4616000,0,0
9/25/2019,1747.359985,1773,1723,1768.329956,3493200,0,0
9/26/2019,1762.790039,1763.369995,1731.5,1739.839966,3536800,0,0
9/27/2019,1748,1749.119995,1713.819946,1725.449951,3907200,0,0
9/30/2019,1726.98999,1737.459961,1709.219971,1735.910034,2644700,0,0
10/1/2019,1746,1755.599976,1728.410034,1735.650024,3084500,0,0
10/2/2019,1727.73999,1728.890015,1705,1713.22998,3301100,0,0
10/3/2019,1713,1725,1685.060059,1724.420044,3468200,0,0
10/4/2019,1726.02002,1740.579956,1719.22998,1739.650024,2471900,0,0
10/7/2019,1731.630005,1747.829956,1723.699951,1732.660034,2154700,0,0
10/8/2019,1722.48999,1727,1705,1705.51001,2542000,0,0
10/9/2019,1719.609985,1729.949951,1714.359985,1721.98999,2043500,0,0
